date,value
2000-01-01,89.00228
2001-01-01,87.93987
2002-01-01,86.62645
2003-01-01,85.86876
2004-01-01,86.33376
2005-01-01,86.9175
2006-01-01,87.3104
2007-01-01,87.5106
2008-01-01,86.02809
2009-01-01,81.45937
2010-01-01,80.96249
2011-01-01,81.41356
2012-01-01,82.53114
2013-01-01,82.78198
2014-01-01,83.64077
2015-01-01,84.41476
2016-01-01,84.95901
2017-01-01,85.39362
2018-01-01,86.15924
2019-01-01,86.42363
2020-01-01,81.79383
2021-01-01,83.6428
2022-01-01,85.85039
2023-01-01,86.27332
2024-01-01,86.27131
